PFR,Accession,P-score,E-value,C-score,% Cleavages,Proteoform Level,Q-value,Mono Mass,Avg Mass
68974,P68871,2.8E-33,4.3E-26,22.93,21%,4,1.4E-21,16021.24,16031.28
1036,P06454-2,3.2E-33,4.9E-26,3.01,20%,4,1.5E-21,11977.9,11984.69
655180,P69905,1.6E-98,6.7E-91,633.5,82%,1,1.9E-21,4952.55,18.02
224685,P68871,1.5E-98,6.4E-91,1138,82%,1,2E-21,4563.43,18.02
3442,P62805,4.8E-33,7.3E-26,1.759,15%,4,2.1E-21,11341.39,11348.28
170701,P68871,6.4E-33,9.7E-26,0.7798,14%,4,2.6E-21,16191.19,16201.35
17469,P69905,8.4E-33,1.3E-25,491.9,21%,1,3.2E-21,15200.91,15210.44
1013,O75368,1.4E-32,2.1E-25,483.9,18%,1,4.7E-21,12635.34,12643.06
6058,P62805,1.7E-32,2.6E-25,32.95,16%,4,5.6E-21,11299.38,11306.25
4906840,P68871,1.9E-32,2.9E-25,1.249,11%,4,6.1E-21,16069.22,18.02
346110,P68871,1.9E-32,2.9E-25,1.968,14%,4,6.1E-21,16073.27,18.02
1495858,P68871,2.1E-32,3.2E-25,0.3778,14%,4,6.5E-21,16124.25,18.02
346034,P68871,2.5E-32,3.7E-25,3.006,17%,4,7.3E-21,15951.19,15961.18
222720,P68871,3.6E-32,5.5E-25,10.83,19%,4,9.8E-21,15979.23,15989.24
16172,P05109,5.5E-32,8.3E-25,359.2,27%,1,1.3E-20,10856.64,10863.51
39252,P68871,1.5E-31,2.3E-24,255.2,17%,1,3E-20,15960.26,15970.35
4933158,P68871,2.1E-31,3.1E-24,19.97,17%,4,3.8E-20,15877.23,15887.2
4945204,P0DP24,2.2E-31,3.4E-24,68.33,15%,1,4E-20,16762.82,16773.49
1522,P04908,2.5E-31,3.8E-24,233.7,19%,1,4.4E-20,14037.92,14046.34
1817738,P68871,5.3E-31,8E-24,1.763,14%,4,7.9E-20,11899.07,11906.59
70166,P60174-1,1.4E-92,5.7E-85,1150,69%,1,8.3E-20,5049.61,18.02
4894686,P68871,5.9E-31,8.9E-24,454,18%,1,8.6E-20,15864.21,15874.16
16110,P69905,2.4E-92,9.8E-85,767.9,73%,1,9.2E-20,6647.62,18.02
222074,P10412,3.2E-92,1.3E-84,1.761,77%,4,9.6E-20,4611.98,4614.81
3465863,P69905,5.9E-92,2.5E-84,957.8,54%,1,1.1E-19,9200.93,18.02
224636,P68871,1.1E-91,4.5E-84,798.8,46%,1,1.2E-19,9445.94,18.02
258987,P68871,1.1E-30,1.6E-23,1.761,13%,4,1.4E-19,16130.19,16140.26
16131,P68871,1.2E-30,1.9E-23,83.75,16%,1,1.5E-19,15956.24,18.02
1887,Q99877,1.4E-30,2.1E-23,317.2,16%,1,1.7E-19,13782.51,13790.95
70237,P68871,1.4E-30,2.2E-23,12.51,17%,4,1.7E-19,16050.23,16060.28
1330,P58876,1.4E-30,2.1E-23,273.2,18%,1,1.7E-19,13796.53,13804.97
69233,P68871,1.4E-30,2.2E-23,22.55,17%,4,1.7E-19,16008.22,16018.24
15899,P06702,1.6E-30,2.4E-23,344.7,23%,1,1.8E-19,13158.49,13166.87
16751,P69905,1.7E-30,2.6E-23,16.52,13%,4,1.9E-19,15289.94,15299.59
525228,P69905,1.7E-30,2.6E-23,0.5799,14%,4,1.9E-19,15268.84,15278.36
441695,P68871,2.1E-30,3.2E-23,0.9691,12%,4,2.2E-19,16021.24,16031.28
18619,P61626,2.8E-30,4.3E-23,543.1,15%,1,2.8E-19,14691.15,14700.67
4933273,P68871,3.4E-30,5.1E-23,12.46,19%,4,3.2E-19,15915.18,15925.14
1862,P14174,6.6E-30,1E-22,579.1,17%,1,5.4E-19,12337.18,12345.11
1089,Q99584,8.1E-30,1.2E-22,416.6,23%,1,6.3E-19,11375.06,11382.04
346352,P69905,8.7E-30,1.3E-22,1.238,19%,4,6.6E-19,15276.82,15286.32
4933149,P68871,1.1E-29,1.7E-22,8.927,18%,4,8.1E-19,15944.17,15954.14
340005,P16403,1.8E-88,7.6E-81,0.6695,81%,4,9E-19,3945.6,3948.03
1764,Q93079,1.9E-29,2.9E-22,268.3,16%,1,1.2E-18,13752.5,13760.92
200666,A0A2R8Y619,2.1E-87,8.8E-80,513.7,86%,1,1.7E-18,3869.14,18.02
6975,P0DP23,3E-29,4.6E-22,3.009,14%,4,1.7E-18,16779.81,16790.47
258961,P68871,3.2E-29,4.8E-22,26.11,13%,4,1.8E-18,15900.22,15910.2
4894281,P68871,3.3E-29,5E-22,3.01,18%,4,1.8E-18,15919.24,15929.24
4933153,P68871,4.1E-29,6.2E-22,248.2,18%,1,2.2E-18,15961.25,15971.28
17108,P68871,4.3E-29,6.5E-22,240.1,18%,1,2.3E-18,15983.28,15993.34
272280,P69905,4.8E-29,7.3E-22,1.249,18%,4,2.5E-18,15280.87,15290.42
3479924,P68871,5.5E-29,8.3E-22,1.226,13%,4,2.7E-18,16035.22,18.02
5573389,P36578,1.3E-86,5.4E-79,695.5,55%,1,2.8E-18,5810.56,18.02
4894438,P68871,7.8E-29,1.2E-21,18.3,18%,4,3.5E-18,15906.22,15916.2
69036,P23528,3.7E-86,1.5E-78,697.7,70%,1,3.6E-18,5197.78,18.02
69009,P69905,9.3E-29,1.4E-21,286.6,16%,1,4.1E-18,15277.9,15287.53
4894175,P68871,1.3E-28,2E-21,45.89,18%,1,5.3E-18,15906.22,15916.2
272086,P68871,1.5E-28,2.3E-21,21.51,19%,4,5.9E-18,16130.19,16140.26
16575,P69905,2.4E-28,3.6E-21,654.2,19%,1,8.3E-18,15230.88,15240.42
339913,P10412,1.1E-84,4.4E-77,183.1,67%,1,8.9E-18,4971.16,4974.19
224696,P68871,4.1E-28,6.3E-21,8.831,15%,4,1.3E-17,15913.24,15923.24
224681,P68871,4.3E-28,6.6E-21,3.01,17%,4,1.3E-17,15909.18,15919.14
7101,P62805,4.8E-28,7.3E-21,133.5,20%,1,1.4E-17,11285.37,11292.22
68948,P68871,7.6E-84,3.1E-76,826.8,67%,1,1.5E-17,5152.73,18.02
524744,P68871,5.6E-28,8.5E-21,0.2228,10%,4,1.6E-17,16059.19,16069.22
70221,P69905,2.2E-30,9.2E-23,27.49,20%,4,1.7E-17,15188.87,18.02
4894687,P68871,6.2E-28,9.4E-21,27.47,19%,4,1.7E-17,15919.24,15929.24
258983,P68871,6.5E-28,9.9E-21,3.004,18%,4,1.8E-17,15979.23,15989.24
13448,P07858,6.7E-28,1E-20,329.8,30%,1,1.8E-17,5205.43,5208.85
165378,P60174-1,7.2E-83,3E-75,1169,72%,1,2.7E-17,4563.37,18.02
448176,P69905,1.5E-82,6.2E-75,907.3,61%,1,3.2E-17,7711.1,18.02
73434,P18206-1,2.4E-82,1E-74,1020,62%,1,3.5E-17,6508.48,18.02
339910,P10412,2.3E-82,9.3E-75,587.3,82%,1,3.5E-17,4120.59,4123.09
5518073,P68871,1.2E-81,4.8E-74,688.8,49%,1,5.3E-17,9644.12,18.02
521587,P68871,1.4E-81,5.7E-74,875.7,64%,1,5.4E-17,7692.04,18.02
169460,P69905,2.6E-81,1.1E-73,687.5,76%,1,6.3E-17,5933.96,18.02
4933211,P68871,3.5E-27,5.3E-20,0.2996,11%,4,6.7E-17,16022.2,16032.22
441733,P68871,3.5E-27,5.3E-20,1.717,12%,4,6.7E-17,16036.21,16046.25
70291,P02042,5E-27,7.5E-20,308.7,10%,1,8.8E-17,15994.22,16004.27
70236,P68871,6.3E-27,9.6E-20,15.2,14%,4,1.1E-16,15966.21,15976.2
18272,P68871,7E-27,1.1E-19,2.961,14%,4,1.1E-16,16030.3,16040.45
74897,P68871,8.2E-27,1.2E-19,405.2,16%,1,1.3E-16,15927.25,18.02
258985,P68871,2.8E-30,1.1E-22,362.4,13%,1,1.3E-16,16058.3,18.02
346029,P68871,1.2E-26,1.8E-19,263.1,12%,1,1.7E-16,15989.25,18.02
284930,P68871,1.2E-26,1.8E-19,18.54,12%,4,1.7E-16,15998.26,16008.31
186043,P60709,1.3E-79,5.5E-72,976.3,54%,1,1.8E-16,7845.75,18.02
184486,P08670,1.5E-79,6.4E-72,540.4,71%,1,1.9E-16,5695.81,18.02
16928,P05109,1.9E-26,2.9E-19,398.3,22%,1,2.5E-16,10869.66,10876.55
272294,P69905,2E-26,3E-19,15.68,16%,4,2.5E-16,15226.83,15236.32
4894696,P68871,2.1E-26,3.2E-19,7.522,17%,4,2.6E-16,15948.23,15958.24
272484,P02792,2.1E-26,3.2E-19,503.3,14%,1,2.6E-16,19948.08,19960.55
17368,P06702,2.8E-26,4.3E-19,319.6,20%,1,3.3E-16,13163.52,13171.89
13333,P17096-1,3.6E-26,5.5E-19,2.728,15%,4,3.9E-16,11740.04,11746.83
259091,P69905,3.8E-26,5.8E-19,34.27,16%,4,4.1E-16,15196.85,15206.34
14970,P48201,4E-26,6E-19,873.8,14%,1,4.2E-16,7675.01,7680.08
4894439,P68871,4.1E-26,6.3E-19,3.004,15%,4,4.3E-16,15915.18,15925.14
4933166,P68871,6.1E-26,9.3E-19,28.44,17%,4,5.9E-16,15948.23,15958.24
5810439,P69905,1.2E-77,4.9E-70,1111,67%,1,6.1E-16,5474.99,18.02
4933225,P68871,6.7E-26,1E-18,2.9,17%,4,6.3E-16,15999.2,16009.22
3465858,P69905,2.9E-77,1.2E-69,630,40%,1,7.6E-16,12338.48,18.02
4919898,P59665,1E-25,1.6E-18,151.7,52%,1,8.8E-16,3443.54,3446.07
259088,P69905,1.1E-25,1.7E-18,68.57,19%,1,9.5E-16,15196.85,15206.34
15939,P68871,1.4E-25,2.1E-18,339.5,14%,1,1.1E-15,15955.25,18.02
4933147,P68871,1.5E-25,2.3E-18,5.143,17%,4,1.2E-15,15919.24,15929.24
339909,P10412,1.6E-76,6.8E-69,319.7,94%,1,1.2E-15,3252.04,3254.02
65983,P12838,1.7E-25,2.5E-18,352.9,31%,1,1.3E-15,3712.81,3715.46
6972,O60814,1.8E-25,2.7E-18,282.5,18%,1,1.3E-15,13750.52,13758.95
1449,P23527,1.8E-25,2.8E-18,112.9,17%,1,1.3E-15,13766.52,13774.95
4933681,P68871,1.9E-25,2.9E-18,2.841,17%,4,1.4E-15,15999.2,16009.22
258984,P68871,1.9E-25,2.9E-18,2.995,17%,4,1.4E-15,16046.17,16056.18
258954,P68871,1.9E-25,2.9E-18,414.2,17%,1,1.4E-15,16012.27,16022.34
4933226,P68871,1.9E-25,2.9E-18,211.1,17%,1,1.4E-15,15990.24,16000.28
16239,P68871,2E-25,3E-18,524.5,14%,1,1.4E-15,15829.22,15839.16
4933219,P68871,2.4E-25,3.6E-18,11.26,17%,4,1.6E-15,15986.18,15996.18
4017,O00479,2.4E-25,3.7E-18,1234,15%,1,1.6E-15,9402.19,9407.72
346362,P69905,2.6E-25,3.9E-18,1.249,11%,4,1.7E-15,15327.89,15337.53
5007105,P68871,3E-25,4.5E-18,0.4573,10%,4,1.9E-15,16050.23,16060.28
259017,P68871,4.6E-25,7E-18,1.761,13%,4,2.7E-15,16040.22,18.02
441775,P68871,4.7E-25,7.1E-18,6.804,12%,4,2.7E-15,16040.27,16050.35
11811,P68871,4.8E-25,7.3E-18,327,14%,1,2.7E-15,15988.29,18.02
22246,Q6FI13,5E-25,7.5E-18,363.8,14%,1,2.8E-15,14011.88,14020.37
4933362,P68871,6E-25,9.1E-18,73.43,15%,1,3.2E-15,15995.15,16005.12
524710,P68871,6.7E-25,1E-17,3.01,8%,4,3.5E-15,16219.13,16229.18
183718,P60709,8.2E-75,3.4E-67,153.8,33%,1,3.5E-15,11311.51,18.02
169827,P62805,9.7E-25,1.5E-17,8.463,17%,4,4.6E-15,11341.39,11348.28
74893,P68871,1E-24,1.5E-17,22.27,16%,4,4.7E-15,15909.18,15919.14
2816,P62805,1.1E-24,1.6E-17,16.24,14%,4,5E-15,11383.4,11390.32
17264,P17096-1,1.4E-24,2.1E-17,0.7509,15%,4,6E-15,11768.08,18.02
4933159,P68871,1.4E-24,2.1E-17,8.964,15%,4,6.1E-15,15957.19,15967.18
1224718,P68871,1.5E-24,2.2E-17,0.5432,9%,4,6.2E-15,16072.31,18.02
224599,P68871,8E-74,3.3E-66,735.6,71%,1,6.5E-15,3320.78,18.02
1224637,P68871,1.6E-24,2.5E-17,1.242,12%,4,6.7E-15,15993.21,18.02
69108,P59665,1.7E-24,2.5E-17,177.2,52%,1,6.8E-15,3487.57,3490.13
23201,P10412,1.5E-73,6.2E-66,153.5,73%,1,7.5E-15,4284.76,4287.39
5791423,P68871,1.9E-73,8E-66,752.6,79%,1,7.9E-15,3372.8,18.02
4894699,P68871,2E-24,3.1E-17,348.7,15%,1,7.9E-15,15835.22,15845.16
2074,P20671,2.4E-24,3.7E-17,140.3,16%,1,9.2E-15,14009.91,14018.33
4933176,P68871,2.9E-24,4.4E-17,1.24,16%,4,1E-14,16028.19,16038.22
3085677,P10412,8.3E-73,3.4E-65,159.9,82%,1,1.2E-14,2945.87,2947.65
1417,Q99878,5E-24,7.6E-17,470.7,12%,1,1.6E-14,13838.81,13847.13
5791422,P61160-1,2.9E-72,1.2E-64,766.8,61%,1,1.6E-14,4865.42,18.02
4275,P23527,5.4E-24,8.2E-17,19.41,17%,4,1.7E-14,13808.53,13816.99
336167,P00338-1,4.7E-72,1.9E-64,0.9691,43%,4,1.8E-14,8475.53,18.02
352796,P10412,6.1E-72,2.5E-64,339.2,62%,1,1.9E-14,5146.19,5149.3
13634,Q5QNW6,6.4E-24,9.8E-17,19.61,16%,4,1.9E-14,13822.54,13831.01
59114,P32119-1,1.2E-23,1.8E-16,254.4,12%,1,3.1E-14,21803.22,21816.79
5006575,P68871,1.3E-23,1.9E-16,0.5119,11%,4,3.3E-14,11979.03,11986.57
1816547,P68871,1.3E-23,2E-16,0.9691,10%,4,3.4E-14,16133.25,16143.37
165367,P07437,5.9E-71,2.4E-63,145,65%,1,3.5E-14,5248.51,18.02
15989,P68871,1.5E-23,2.3E-16,17.21,14%,4,3.7E-14,15900.22,18.02
15111,Q9BTM1,1.7E-23,2.6E-16,515.2,13%,1,4.1E-14,13921.9,13930.26
339962,P10412,2.4E-70,1E-62,287.1,85%,1,5E-14,3444.11,3446.19
272230,P68871,2.6E-23,3.9E-16,1.237,13%,4,5.7E-14,16195.15,16205.22
1549,Q5QNW6,2.7E-23,4.1E-16,50,11%,1,5.8E-14,13780.53,13788.97
18596,P30273,2.8E-23,4.2E-16,1.249,15%,4,5.9E-14,7883.11,7888.07
525239,P69905,3.1E-23,4.8E-16,0.5799,14%,4,6.5E-14,15428.77,15438.32
213253,P16403,7.7E-70,3.2E-62,39.12,65%,4,6.7E-14,4555.98,4558.79
4933401,P68871,3.5E-23,5.3E-16,2.659,15%,4,7.1E-14,15986.18,15996.18
16174,P68871,1.2E-33,4.8E-26,22.74,17%,4,7.1E-14,15913.24,15923.24
8329,P58876,3.7E-23,5.7E-16,408.2,17%,1,7.4E-14,13838.54,13847.01
323049,P62805,4.1E-23,6.2E-16,103.4,15%,1,7.9E-14,11313.4,11320.27
213252,P16403,2.4E-69,9.7E-62,0.6695,64%,4,9E-14,4684.08,4686.96
96862,P68871,5.1E-23,7.7E-16,11.34,14%,4,9.4E-14,16040.22,16050.33
1224661,P68871,5.4E-23,8.2E-16,12.64,15%,4,9.8E-14,16068.26,16078.39
4919900,P59665,6.3E-23,9.6E-16,126.7,38%,1,1.1E-13,3443.54,3446.07
70268,P68871,6.8E-23,1E-15,20.14,10%,4,1.2E-13,16257.18,16267.35
239996,P69905,7.2E-23,1.1E-15,2.854,14%,4,1.2E-13,15238.86,15248.38
2930,P33778,7.5E-23,1.1E-15,181.1,16%,1,1.2E-13,13810.54,13819
70230,P16402,8.4E-69,3.5E-61,541.9,86%,1,1.3E-13,3138.03,3139.96
7472,P62805,8E-23,1.2E-15,27.5,20%,4,1.3E-13,11327.38,11334.26
70233,P68871,1.2E-68,4.8E-61,684.4,54%,1,1.4E-13,8183.22,18.02
219857,P62805,9.6E-23,1.5E-15,3.01,15%,4,1.5E-13,11341.39,11348.28
524877,P68871,9.7E-23,1.5E-15,1.759,10%,4,1.5E-13,16138.26,18.02
4933389,P68871,9.8E-23,1.5E-15,2.463,14%,4,1.5E-13,15993.21,18.02
2382996,P05204,3E-68,1.3E-60,632.8,50%,1,1.7E-13,5109.95,18.02
69026,P60709,4.2E-68,1.7E-60,936.6,54%,1,1.9E-13,6422.34,18.02
39596,Q16777,1.4E-22,2.1E-15,694.7,12%,1,2E-13,13904.83,13913.25
