PFR,Accession,P-score,E-value,C-score,% Cleavages,Proteoform Level,Q-value,Mono Mass,Avg Mass
258984,P68871,1.5E-59,2.3E-52,14.44,28%,4,1.4E-36,16046.17,16056.18
272074,P68871,1.6E-59,2.5E-52,366.6,27%,1,1.5E-36,16181.17,16191.24
74903,P68871,4.2E-59,6.5E-52,9.925,32%,4,2.8E-36,16008.22,16018.24
70236,P68871,6.8E-59,1E-51,21.83,32%,4,3.9E-36,15966.21,15976.2
258980,P68871,1.3E-58,2E-51,14.54,30%,4,6.2E-36,15979.23,15989.24
15901,P69905,2.5E-58,3.8E-51,1686,30%,1,9.7E-36,15146.86,15156.34
1210,P62857,4.7E-58,7.2E-51,857.8,38%,1,1.5E-35,7878.21,7883.07
15969,P68871,5E-58,7.5E-51,61.41,34%,1,1.5E-35,15871.23,15881.2
69233,P68871,1.4E-57,2.1E-50,15.52,31%,4,3.1E-35,16008.22,16018.24
272073,P68871,1.5E-57,2.2E-50,2.962,26%,4,3.3E-35,16130.19,16140.26
1015,P61769,1.9E-57,2.8E-50,425.3,43%,1,3.8E-35,11723.79,11731.17
259043,P68871,2.9E-57,4.3E-50,355,27%,1,5.1E-35,16210.16,16220.24
1375,P30086,3.2E-57,4.9E-50,490.1,23%,1,5.5E-35,20912.63,20925.59
224862,P69905,1.7E-56,2.5E-49,58.45,29%,1,1.7E-34,15276.82,15286.32
592591,P30049,3.2E-56,4.9E-49,1169,25%,1,2.8E-34,15026.77,15035.97
70237,P68871,1.9E-55,2.9E-48,14.92,30%,4,9.5E-34,16050.23,16060.28
4918045,P00441,5.3E-55,8.1E-48,576,28%,1,2E-33,15834.86,15844.57
213504,P49411,7.4E-142,3.1E-134,877.4,75%,1,2.4E-33,7796.12,18.02
15880,P61604,6E-142,2.5E-134,3.01,67%,4,2.8E-33,10835.84,18.02
18622,Q9NZD4,4E-54,6.1E-47,1150,37%,1,8E-33,11743.95,11751.26
1235,O15511-1,5.5E-54,8.3E-47,889.5,26%,1,9.9E-33,16221.27,16231.27
16605,P69905,7.4E-54,1.1E-46,65.7,30%,1,1.2E-32,15158.9,18.02
74913,P69905,7.4E-54,1.1E-46,14.16,26%,4,1.2E-32,15188.87,15198.38
1283,Q16864-1,3.7E-53,5.7E-46,586.9,31%,1,3.7E-32,13272.92,13281.08
12462,Q9UDW1-1,4.4E-53,6.8E-46,778.2,41%,1,4.2E-32,7200.78,7205.31
4973456,P08263,5.1E-53,7.8E-46,12.16,18%,4,4.6E-32,25525.63,25541.92
1489,P13073,1.7E-52,2.5E-45,964,27%,1,1E-31,17188.72,17199.8
272084,P68871,2.2E-52,3.4E-45,8.273,27%,4,1.3E-31,16059.19,16069.22
1420,O14950,2.4E-52,3.6E-45,589,21%,1,1.3E-31,19677.49,19690.01
1033,P62805,5.7E-52,8.7E-45,152.8,31%,1,2.4E-31,11299.38,11306.24
346100,P68871,3E-51,4.5E-44,3.007,26%,4,7.6E-31,16059.19,16069.22
2572,P61960-1,3.8E-51,5.7E-44,1709,38%,1,8.9E-31,8832.8,8838.21
1288,P18077,3.8E-51,5.8E-44,97.21,29%,1,8.9E-31,12440.74,12448.52
1464,P62328,6.4E-51,9.7E-44,3.01,60%,4,1.3E-30,4960.49,4963.5
12371,O43677,7.6E-51,1.2E-43,542.2,58%,1,1.4E-30,5934.18,5937.89
74901,P68871,9.8E-51,1.5E-43,10.22,25%,4,1.7E-30,16008.22,16018.24
14924,O75438-1,1.3E-50,2E-43,723.1,48%,1,2.1E-30,6825.6,6830.01
259092,P69905,1.4E-50,2.1E-43,34.29,30%,4,2.1E-30,15196.85,15206.34
14919,P09669,1.9E-50,2.8E-43,1132,38%,1,2.6E-30,8644.65,8650.24
258997,P68871,3.9E-50,6E-43,2.852,26%,4,4.4E-30,16059.19,16069.22
1156,O75347-1,4.2E-50,6.4E-43,574.6,31%,1,4.6E-30,12757.68,12765.68
19721,P48539,5.2E-50,7.9E-43,1022,38%,1,5.2E-30,6698.27,6702.26
239996,P69905,5.2E-50,7.8E-43,8.418,25%,4,5.2E-30,15238.86,15248.38
16575,P69905,5.2E-50,7.8E-43,871.5,25%,1,5.2E-30,15230.88,15240.42
272108,P68871,5.9E-50,8.9E-43,2.726,24%,4,5.6E-30,16088.18,16098.22
2628,P51397,9E-50,1.4E-42,165.1,33%,1,7.5E-30,11068.63,11075.42
1983,Q9P0S9,1.1E-49,1.6E-42,954.7,23%,1,8.4E-30,11598.98,11606.62
15018,O43181,2.5E-49,3.8E-42,490.6,30%,1,1.5E-29,15375.77,15385.33
6976,P56385,4.5E-49,6.9E-42,1604,49%,1,2.3E-29,7928.33,7933.21
2197,P06454-2,6.8E-54,2.8E-46,3.01,37%,4,2.8E-29,12108.94,18.02
346348,P69905,1.3E-48,2E-41,1.249,24%,4,4.7E-29,15310.85,15320.4
12372,P56378-1,1.7E-48,2.6E-41,538.3,44%,1,5.8E-29,6657.59,6662.04
1012,P62888,2E-48,3E-41,547.5,27%,1,6.3E-29,12644.7,12652.86
525228,P69905,2.7E-47,4.1E-40,0.5799,24%,4,3.9E-28,15268.84,15278.36
186619,Q15847,5.3E-123,2.2E-115,856.7,75%,1,3.9E-28,7632.85,18.02
272294,P69905,2.7E-47,4.1E-40,5.79,26%,4,3.9E-28,15226.83,15236.32
14926,Q96IX5,1.2E-46,1.9E-39,612.6,45%,1,1.1E-27,6322.33,6326.38
15300,P47985,1.3E-46,2.1E-39,849.6,31%,1,1.2E-27,8090.42,8095.47
1397,P62861,2.1E-46,3.1E-39,857.8,43%,1,1.6E-27,6643.82,6647.86
1274,Q6EEV4-2,2.5E-46,3.8E-39,1005,25%,1,1.8E-27,8732.5,8737.78
4973466,P08263,6.5E-46,9.9E-39,3.01,13%,4,3.5E-27,25525.6,25541.88
272076,P68871,1.2E-45,1.8E-38,2.933,25%,4,5.2E-27,16101.2,16111.26
17469,P69905,1.7E-45,2.5E-38,1508,26%,1,6.7E-27,15200.91,15210.44
1261,Q9GZT3-1,3.3E-45,5.1E-38,759.6,31%,1,1.1E-26,12252.39,12259.86
4933147,P68871,3.8E-45,5.8E-38,88.29,25%,1,1.2E-26,15919.24,15929.24
1335,Q16778,3.8E-45,5.8E-38,84.81,29%,1,1.2E-26,13780.53,13788.97
6983,Q9Y6X1,4.1E-45,6.2E-38,2022,36%,1,1.2E-26,7237.89,7242.56
524827,P68871,4.8E-45,7.3E-38,0.9691,16%,4,1.4E-26,16261.14,16271.22
524709,P68871,4.8E-45,7.3E-38,2.026,16%,4,1.4E-26,16248.12,16258.18
12709,O95298-1,4.8E-45,7.3E-38,757.3,23%,1,1.4E-26,14220.43,14229.56
18586,P24844-1,1.3E-44,2E-37,499.6,19%,1,2.7E-26,19725.42,19738.03
325920,P02511,1.4E-44,2.2E-37,1593,19%,1,2.9E-26,20188.43,20200.95
11812,P69905,2.4E-44,3.7E-37,1127,25%,1,4.2E-26,15247.93,15257.55
2216,P55854-1,4.4E-44,6.7E-37,675.6,36%,1,6.3E-26,10429.17,10435.68
70283,P68871,7.3E-44,1.1E-36,65.04,19%,1,8.9E-26,16177.11,16187.14
16751,P69905,7.4E-44,1.1E-36,54.19,25%,1,8.9E-26,15289.94,15299.59
1976,O00483,1.3E-43,1.9E-36,443.1,38%,1,1.3E-25,9363.91,9369.86
1293,P62807,1.6E-43,2.4E-36,91.09,28%,1,1.5E-25,13766.52,13774.95
211677,P61978-1,2.2E-113,9.1E-106,761.7,58%,1,1.6E-25,9876.15,18.02
259089,P69905,3.5E-43,5.3E-36,3.01,22%,4,2.6E-25,15196.85,15206.34
1544,P61353,6.2E-43,9.4E-36,617.1,24%,1,3.9E-25,15656.71,15666.53
15620,P02654,9.9E-43,1.5E-35,370.3,55%,1,5.4E-25,6626.51,6630.58
12367,O95182,3.1E-42,4.6E-35,328.1,29%,1,1.2E-24,12454.6,12462.25
272368,P07148,3.3E-42,4.9E-35,1597,15%,1,1.2E-24,14140.39,14149.26
4934,P07148,3.3E-42,4.9E-35,2172,16%,1,1.2E-24,14110.38,14119.23
272280,P69905,5E-42,7.6E-35,1.648,21%,4,1.6E-24,15280.87,15290.42
1281,Q99417,8.1E-42,1.2E-34,469.1,27%,1,2.3E-24,11870.25,11877.53
524710,P68871,1.1E-41,1.6E-34,3.01,16%,4,2.8E-24,16219.13,16229.18
346099,P68871,1.3E-41,1.9E-34,2.547,23%,4,3.1E-24,16088.18,16098.22
68982,P69905,6.7E-108,2.8E-100,619.9,59%,1,4.2E-24,10030.1,18.02
1108,P48047,2E-41,3E-34,522.8,16%,1,4.2E-24,20862.41,20875.49
224681,P68871,2.1E-41,3.2E-34,2.991,21%,4,4.3E-24,15909.18,15919.14
441694,P68871,2.1E-41,3.2E-34,45.45,17%,1,4.4E-24,16101.3,18.02
12550,Q9Y5U8,3.3E-41,5E-34,342,25%,1,5.9E-24,12250.23,12258.34
15151,P61956-1,5.4E-44,2.2E-36,128,31%,1,9.4E-24,10512.22,18.02
8616,P51397,8.7E-41,1.3E-33,25.59,29%,4,1.1E-23,11148.6,11155.4
70291,P02042,9.9E-41,1.5E-33,566.2,21%,1,1.3E-23,15994.22,18.02
16425,P56381,7.1E-106,3E-98,1063,85%,1,1.5E-23,5311.9,18.02
16363,P0CG47,1.7E-105,7E-98,0.9691,64%,4,1.7E-23,8445.57,18.02
224861,P69905,1.6E-40,2.4E-33,9.696,21%,4,1.8E-23,15238.86,15248.38
346426,P69905,2.7E-40,4.1E-33,1.679,21%,4,2.5E-23,15411.91,15421.61
170705,P68871,2.9E-40,4.4E-33,3.001,15%,4,2.6E-23,16270.2,16280.39
272367,P07148,3.6E-40,5.4E-33,2142,15%,1,3E-23,14080.37,14089.21
44983,P68871,3.8E-40,5.7E-33,359.9,18%,1,3.1E-23,16012.27,16022.34
13891,P51397,3.8E-40,5.8E-33,38.37,30%,4,3.1E-23,11148.6,11155.4
23683,O75394-1,3.9E-40,5.9E-33,1121,38%,1,3.1E-23,6671.8,6676
4084,Q7Z7F7-1,4E-40,6.1E-33,873.5,24%,1,3.2E-23,11590.15,11597.22
1089,Q99584,9.6E-40,1.5E-32,461.4,32%,1,5.9E-23,11375.06,11382.04
3700,Q9Y2R0,1.6E-39,2.4E-32,697.7,26%,1,8.3E-23,11635.1,11642.14
12679,P56378-1,1.7E-39,2.7E-32,483.9,39%,1,8.8E-23,6643.58,6648.02
259101,P69905,2E-39,3.1E-32,2.755,21%,4,9.7E-23,15226.83,15236.32
1942,P08708,2.4E-39,3.7E-32,542.4,21%,1,1.1E-22,15409.35,15418.93
69009,P69905,2.7E-47,1.1E-39,295.3,24%,1,1.4E-22,15277.9,15287.53
4894281,P68871,4.2E-39,6.4E-32,13.49,22%,4,1.6E-22,15919.24,15929.24
441692,P68871,4.6E-39,7E-32,65.82,17%,1,1.7E-22,16261.14,16271.22
176480,P20962,7.3E-102,3E-94,3.01,49%,4,1.7E-22,11276.09,18.02
224858,P69905,1.2E-38,1.8E-31,14.65,19%,4,3.2E-22,15226.83,15236.32
588261,P05496,1.2E-38,1.8E-31,1616,31%,1,3.2E-22,7645.03,7650.1
170697,P68871,1.3E-38,2E-31,12.65,18%,4,3.4E-22,16232.24,16242.45
70272,P68871,1.3E-38,2E-31,44.84,16%,1,3.4E-22,16228.19,16238.35
345919,P68871,1.3E-38,2E-31,2.81,14%,4,3.4E-22,16219.13,16229.18
19922,P56181-1,1E-100,4.1E-93,976.3,61%,1,3.5E-22,8277.12,18.02
14913,Q9HD34,2E-38,3E-31,638.8,28%,1,4.6E-22,10646.76,10653.29
2188,P19105,2.3E-38,3.5E-31,531.9,19%,1,5.1E-22,19692.46,19704.98
18272,P68871,2.5E-38,3.8E-31,16.27,18%,4,5.3E-22,16030.3,16040.45
70264,P68871,2.7E-38,4.2E-31,68.37,19%,1,5.6E-22,16072.31,18.02
13512,P51397,3E-38,4.6E-31,96.84,27%,1,6E-22,11148.6,11155.4
259099,P69905,4E-38,6E-31,12.62,19%,4,7.2E-22,15356.78,15366.3
346042,P68871,4.1E-38,6.2E-31,1.69,17%,4,7.3E-22,16143.21,16153.3
74910,P69905,4.1E-38,6.2E-31,10.25,25%,4,7.3E-22,15158.9,15168.4
4933455,P68871,4.6E-38,7E-31,25.83,22%,4,7.9E-22,15915.18,15925.14
70217,P69905,4.7E-38,7.1E-31,0.7918,21%,4,7.9E-22,15306.79,15316.3
4894667,P69905,6.9E-38,1E-30,0.9688,26%,4,1E-21,15383.66,15393.23
70221,P69905,8.4E-38,1.3E-30,16.65,25%,4,1.2E-21,15188.87,15198.38
1224661,P68871,8.7E-38,1.3E-30,11.29,19%,4,1.2E-21,16068.26,16078.39
224864,P69905,9E-38,1.4E-30,15.47,18%,4,1.2E-21,15238.86,15248.38
70209,P69905,1E-37,1.5E-30,0.7918,24%,4,1.3E-21,15407.86,15417.51
346414,P69905,1E-37,1.5E-30,1.323,24%,4,1.3E-21,15390.81,15400.38
4894687,P68871,1.4E-37,2.1E-30,285.5,23%,1,1.7E-21,15919.24,15929.24
4894438,P68871,1.4E-37,2.1E-30,21.72,23%,4,1.7E-21,15906.22,15916.2
272267,P69905,2.1E-37,3.3E-30,2.399,19%,4,2.2E-21,15369.9,15379.57
4930617,Q99497,2.4E-37,3.7E-30,272.5,14%,1,2.4E-21,19821.45,19833.9
346049,P68871,8.8E-37,1.3E-29,2.999,17%,4,5.8E-21,16092.24,16102.32
346013,P68871,8.8E-37,1.3E-29,601.9,17%,1,5.9E-21,16086.29,18.02
11811,P68871,1.1E-36,1.7E-29,484,19%,1,6.9E-21,15988.29,15998.41
39252,P68871,1.3E-36,2E-29,655.9,21%,1,7.4E-21,15960.26,15970.35
346034,P68871,1.3E-36,2E-29,7.903,20%,4,7.5E-21,15951.19,15961.18
18483,P68871,1.3E-36,2E-29,31.91,18%,4,7.5E-21,16002.27,16012.39
16131,P68871,1.3E-36,2E-29,177.5,19%,1,7.5E-21,15956.24,15966.27
258958,P68871,1.5E-36,2.3E-29,10.91,17%,4,8.3E-21,16011.28,16021.35
14914,Q9HD34,1.7E-36,2.6E-29,565.1,27%,1,8.9E-21,10662.75,10669.29
14971,O95168-1,1.8E-36,2.8E-29,537.2,20%,1,9.4E-21,15110.04,15119.44
530312,P68871,1.9E-36,2.9E-29,1.247,14%,4,9.5E-21,16166.26,18.02
4934180,P68871,2.5E-36,3.8E-29,0.7756,15%,4,1.2E-20,16031.16,16041.16
3481807,P68871,3.1E-36,4.7E-29,0.5334,17%,4,1.3E-20,16158.19,16168.27
60982,P30086,3.6E-36,5.5E-29,27.35,17%,4,1.5E-20,20992.59,21005.57
436001,P68871,4.1E-36,6.2E-29,7.815,17%,4,1.6E-20,16110.27,16120.43
15980,P69905,4.4E-36,6.7E-29,829.1,16%,1,1.7E-20,15331.95,15341.63
514665,P68871,4.5E-36,6.8E-29,8.162,18%,4,1.7E-20,16040.22,16050.33
14962,Q629K1,4.6E-36,7E-29,1548,24%,1,1.7E-20,9546.34,9552.21
169458,P69905,1.7E-94,6.9E-87,966.3,47%,1,1.8E-20,14960.78,18.02
14908,O75380,5E-36,7.5E-29,662.2,27%,1,1.8E-20,10692.35,10698.97
1676,O75964,5.6E-36,8.6E-29,70.72,29%,1,2E-20,11374.22,11381.36
524856,P68871,5.8E-36,8.8E-29,0.9691,14%,4,2E-20,16194.29,16204.51
69234,P68871,5.8E-36,8.8E-29,0.4417,14%,4,2E-20,16228.19,16238.35
346139,P68871,5.8E-36,8.8E-29,0.778,12%,4,2E-20,16222.28,16232.52
4894175,P68871,5.9E-36,9E-29,28.59,22%,4,2E-20,15906.22,15916.2
259017,P68871,7.4E-36,1.1E-28,2.996,16%,4,2.3E-20,16040.22,16050.33
70274,P68871,7.4E-36,1.1E-28,683.7,17%,1,2.3E-20,16053.29,16063.39
530334,P68871,7.3E-36,1.1E-28,2.719,17%,4,2.3E-20,16206.1,16216.14
224696,P68871,1E-35,1.6E-28,10.24,22%,4,2.9E-20,15913.24,15923.24
525068,P68871,1.1E-35,1.7E-28,1.673,17%,4,3E-20,16091.24,16101.33
6454,P82909,1.1E-35,1.7E-28,604.5,21%,1,3.1E-20,11500.97,11508.24
272289,P69905,1.2E-35,1.8E-28,1.249,19%,4,3.2E-20,15386.76,15396.28
67854,O76070,1.2E-35,1.9E-28,378.5,20%,1,3.3E-20,13364.78,13372.84
222716,P68871,1.3E-35,2E-28,30.95,20%,4,3.3E-20,15951.19,15961.18
4933214,P68871,1.4E-35,2.1E-28,2.967,14%,4,3.5E-20,16037.16,16047.16
346170,P68871,1.4E-35,2.2E-28,29.81,16%,4,3.6E-20,16031.26,18.02
441733,P68871,1.4E-35,2.2E-28,1.652,17%,4,3.6E-20,16036.21,18.02
3481756,P68871,1.6E-35,2.4E-28,1.675,17%,4,3.8E-20,16073.17,18.02
170698,P68871,2.2E-35,3.4E-28,13.45,18%,4,4.9E-20,16177.11,16187.14
240006,P69905,2.3E-35,3.5E-28,11.34,19%,4,4.9E-20,15276.82,15286.32
4299,P30047-1,2.9E-35,4.3E-28,408.8,33%,1,5.7E-20,9560.85,9567.02
2073,O75964,3.5E-35,5.4E-28,3.01,19%,4,6.6E-20,11374.22,18.02
222714,P68871,3.6E-35,5.5E-28,7.344,21%,4,6.6E-20,15951.19,15961.18
4933166,P68871,3.6E-35,5.5E-28,102.1,18%,1,6.7E-20,15948.23,15958.24
525008,P68871,4.1E-35,6.3E-28,0.7568,17%,4,7.2E-20,16091.24,18.02
1224653,P68871,4.1E-35,6.3E-28,1.739,17%,4,7.3E-20,16078.22,18.02
16736,P68871,4.3E-35,6.5E-28,8.202,21%,4,7.4E-20,15871.23,15881.2
15622,P00167-1,4.6E-35,7.1E-28,191.9,21%,1,7.8E-20,15231.48,15240.95
2406,Q99735-1,5E-35,7.6E-28,1268,12%,1,8.1E-20,16478.8,16489.4
4977516,P09210,5E-35,7.6E-28,472.6,10%,1,8.1E-20,25500.58,25516.77
24310,P0CG47,5.8E-92,2.4E-84,0.9691,62%,4,8.5E-20,8289.47,18.02
524692,P68871,6E-35,9.1E-28,1.233,17%,4,9.1E-20,16110.27,16120.43
4933219,P68871,6.1E-35,9.3E-28,2.758,19%,4,9.3E-20,15986.18,18.02
4933225,P68871,6.1E-35,9.3E-28,4.829,19%,4,9.3E-20,15999.2,18.02
