PFR,Accession,P-score,E-value,C-score,% Cleavages,Proteoform Level,Q-value,Mono Mass,Avg Mass
169497,P68871,2.1E-80,3.2E-73,11.4,34%,4,3E-49,15979.23,15989.24
15997,P68871,2.4E-79,3.6E-72,30.64,41%,4,1.6E-48,15899.26,15909.26
1464,P62328,3.2E-79,4.8E-72,3.01,76%,4,1.9E-48,4960.49,4963.5
1011,Q15843,2.9E-78,4.5E-71,607.5,48%,1,8.5E-48,8554.67,8559.97
69237,P68871,2.1E-76,3.1E-69,83.59,39%,1,1.6E-46,15937.22,15947.2
16018,P68871,2.9E-76,4.4E-69,524.4,34%,1,1.9E-46,15970.26,15980.3
258978,P68871,3.4E-75,5.2E-68,3.003,31%,4,1E-45,15979.23,15989.24
15953,P68871,3.6E-75,5.5E-68,95.01,37%,1,1E-45,15899.26,15909.26
258993,P68871,3.4E-75,5.2E-68,15.67,31%,4,1E-45,15966.21,15976.2
1864,P62312,4.7E-75,7.1E-68,811.8,51%,1,1.2E-45,9032.74,9038.42
69231,P68871,5.1E-75,7.7E-68,50.42,33%,1,1.2E-45,15937.22,15947.2
169501,P68871,6.6E-75,1E-67,57.1,35%,1,1.3E-45,16046.17,16056.18
1588,P06454-1,6.3E-75,9.6E-68,170.3,41%,1,1.4E-45,12106.94,12113.81
1028,P30049,6.1E-75,9.3E-68,617.5,30%,1,1.4E-45,15010.74,15019.93
74904,P68871,6.6E-75,1E-67,29.67,34%,4,1.4E-45,16050.23,16060.28
70242,P68871,6.1E-75,9.2E-68,58.95,35%,1,1.4E-45,16017.18,16027.18
5483506,P07910-1,2.2E-170,9.2E-163,897.9,74%,1,3E-45,8274.31,18.02
170715,P68871,4E-74,6.1E-67,30.12,32%,4,4.6E-45,16088.18,16098.22
16102,P68871,8E-74,1.2E-66,59.03,37%,1,7.3E-45,15928.25,15938.26
6971,P0DP23,8.4E-74,1.3E-66,58.33,31%,1,7.3E-45,16779.85,16790.52
1364,P23284,4.3E-73,6.5E-66,910.2,27%,1,2.2E-44,20276.57,20289.29
73240,P68871,5.2E-73,7.9E-66,74.73,33%,1,2.5E-44,16017.18,16027.18
259006,P68871,6.5E-73,9.9E-66,11.87,31%,4,2.9E-44,16008.22,16018.24
224530,P04406-1,2.1E-163,8.7E-156,1054,76%,1,2.5E-43,10246.03,18.02
1033,P62805,4.6E-71,7E-64,239.7,38%,1,5.4E-43,11299.38,11306.24
68943,P04406-1,1E-161,4.1E-154,1145,74%,1,5.7E-43,10531.19,18.02
272080,P68871,6.2E-71,9.4E-64,22.1,30%,4,6.5E-43,16046.17,16056.18
258981,P68871,9.7E-71,1.5E-63,17.32,30%,4,8.7E-43,16050.23,16060.28
1075,P04080,1.1E-70,1.7E-63,805.6,51%,1,9.3E-43,11174.6,11181.63
258982,P68871,2.1E-70,3.2E-63,3.01,34%,4,1.4E-42,16059.19,16069.22
272077,P68871,1.2E-69,1.8E-62,15.18,30%,4,4.7E-42,16168.15,16178.2
70237,P68871,1.7E-69,2.5E-62,32.63,32%,4,5.7E-42,16050.23,16060.28
272074,P68871,1.6E-69,2.5E-62,407.5,30%,1,5.8E-42,16181.17,16191.24
70236,P68871,2.1E-69,3.1E-62,42.72,32%,1,6.5E-42,15966.21,15976.2
224694,P68871,2.4E-69,3.6E-62,16.19,35%,4,7E-42,16021.24,16031.28
259001,P68871,2.4E-69,3.6E-62,11.31,35%,4,7.1E-42,16008.22,16018.24
73105,P04406-1,2.6E-157,1.1E-149,997.5,69%,1,1.1E-41,10815.34,18.02
258983,P68871,4.8E-69,7.3E-62,11.04,31%,4,1.1E-41,15979.23,15989.24
258979,P68871,4.8E-69,7.3E-62,2.931,31%,4,1.1E-41,16008.22,16018.24
96859,P68871,5E-69,7.7E-62,27.49,34%,4,1.1E-41,15966.21,15976.2
74901,P68871,6E-69,9.1E-62,18.64,33%,4,1.2E-41,16008.22,16018.24
2863,P62942,8.8E-69,1.3E-61,736.6,31%,1,1.6E-41,11812.04,11819.51
258980,P68871,1E-68,1.6E-61,33.63,33%,4,1.8E-41,15979.23,15989.24
68974,P68871,6.8E-68,1E-60,43.69,32%,1,6.4E-41,16021.24,16031.28
15969,P68871,1.4E-67,2.1E-60,169.3,37%,1,1E-40,15871.23,15881.2
69233,P68871,1.5E-67,2.3E-60,26.56,30%,4,1.1E-40,16008.22,16018.24
1210,P62857,1.8E-67,2.8E-60,727.4,43%,1,1.2E-40,7878.21,7883.07
74906,P68871,5.1E-67,7.8E-60,18.21,30%,4,2.5E-40,16021.24,16031.28
4905952,P0DP25,1.3E-66,1.9E-59,17.44,31%,4,4.5E-40,16779.85,16790.52
74902,P68871,3.2E-66,4.9E-59,19.99,30%,4,8.4E-40,16059.19,16069.22
259014,P68871,3.2E-66,4.9E-59,22.93,30%,4,8.5E-40,16101.2,16111.26
272076,P68871,9E-66,1.4E-58,3.008,29%,4,1.7E-39,16101.2,16111.26
70259,P68871,1.2E-65,1.8E-58,390,31%,1,2E-39,16097.15,16107.16
272075,P68871,3.1E-65,4.7E-58,11.99,30%,4,3.9E-39,16088.18,16098.22
272079,P68871,5.1E-65,7.7E-58,20.37,33%,4,5.4E-39,16139.16,16149.2
258997,P68871,2.7E-64,4.1E-57,3.01,31%,4,1.7E-38,16059.19,16069.22
70235,P68871,5.4E-64,8.2E-57,16.86,31%,4,2.7E-38,16059.19,16069.22
1174,Q9NP97-1,7.8E-64,1.2E-56,674.5,36%,1,3.4E-38,10825.69,10832.45
68966,P68871,8E-64,1.2E-56,407.4,30%,1,3.5E-38,16126.14,16136.16
69240,P68871,9E-64,1.4E-56,67.85,32%,1,3.7E-38,16101.2,16111.26
258987,P68871,3.6E-63,5.5E-56,18.54,29%,4,9.6E-38,16130.19,16140.26
6964,O75506,5.4E-63,8.3E-56,1013,41%,1,1.3E-37,8449.14,8454.42
259092,P69905,2.1E-62,3.2E-55,39.05,29%,4,3.1E-37,15196.85,15206.34
15622,P00167-1,2.9E-62,4.5E-55,261.5,28%,1,3.9E-37,15231.48,15240.95
70247,P68871,4.2E-62,6.3E-55,13.94,28%,4,5E-37,16088.18,16098.22
17094,P80511,6.6E-62,1E-54,1022,36%,1,6.7E-37,10479.5,10485.89
3245,P00441,7.7E-62,1.2E-54,465.6,28%,1,7.4E-37,15836.87,18.02
259043,P68871,8.9E-62,1.4E-54,349.2,28%,1,8.1E-37,16210.16,16220.24
1235,O15511-1,9.4E-62,1.4E-54,1494,24%,1,8.3E-37,16221.27,16231.27
272086,P68871,1.1E-61,1.7E-54,46.22,30%,1,9.3E-37,16130.19,16140.26
1092,P62805,2E-61,3.1E-54,113.3,34%,1,1.4E-36,11341.39,11348.28
6975,P0DP23,6.7E-61,1E-53,39.68,27%,4,3.1E-36,16779.81,16790.47
70234,P68871,7.3E-61,1.1E-53,29.98,32%,4,3.3E-36,15979.23,15989.24
3460,Q96FJ2,1.4E-60,2.1E-53,1062,34%,1,5.1E-36,10254.04,10260.68
73164,P04406-1,1.5E-138,6.1E-131,658.7,50%,1,8E-36,13038.79,18.02
258984,P68871,5.8E-60,8.8E-53,3.008,28%,4,1.3E-35,16046.17,16056.18
346100,P68871,5.8E-60,8.8E-53,3.009,28%,4,1.3E-35,16059.19,16069.22
74903,P68871,2.4E-59,3.6E-52,10.72,30%,4,3.5E-35,16008.22,16018.24
2572,P61960-1,3.5E-59,5.3E-52,933.6,42%,1,4.5E-35,8832.8,8838.21
1110,O95178,4.3E-59,6.5E-52,1027,46%,1,5.2E-35,8636.06,8641.51
6994,P62805,3.1E-58,4.7E-51,19.56,33%,4,2E-34,11341.39,11348.28
1439,P07737,4.6E-58,7E-51,846.5,32%,1,2.7E-34,14955.53,14965.08
12781,P06454-2,7.3E-58,1.1E-50,745.5,36%,1,3.6E-34,8889.4,8894.39
225750,P52565-1,1.3E-132,5.6E-125,955.5,66%,1,4E-34,9534.69,18.02
16605,P69905,1.2E-57,1.9E-50,61.32,28%,1,5.1E-34,15158.9,15168.4
6058,P62805,1.5E-57,2.2E-50,33.48,25%,4,5.7E-34,11299.38,11306.25
68954,P68871,1E-131,4.2E-124,981.8,67%,1,6.7E-34,9231.81,18.02
74008,P0DJI8,2.2E-57,3.4E-50,907.6,31%,1,7.5E-34,11675.49,11682.7
271929,P06748-1,7.3E-131,3E-123,1063,80%,1,1E-33,6949.61,18.02
15901,P69905,3.5E-57,5.4E-50,809.7,31%,1,1E-33,15146.86,15156.34
1724,P10176,8.1E-57,1.2E-49,1025,58%,1,1.8E-33,4890.6,4893.78
1942,P08708,9.2E-57,1.4E-49,715.3,26%,1,2E-33,15409.35,15418.93
346099,P68871,1E-56,1.5E-49,2.967,26%,4,2.1E-33,16088.18,16098.22
272106,P68871,2.1E-56,3.3E-49,22.64,24%,4,3.5E-33,16168.15,16178.2
13403,O14907,3.8E-56,5.7E-49,818.8,20%,1,5.1E-33,13637.1,13645.55
224862,P69905,4.5E-56,6.9E-49,58.64,28%,1,5.8E-33,15276.82,15286.32
272108,P68871,5.6E-56,8.6E-49,2.9,28%,4,6.7E-33,16088.18,16098.22
3442,P62805,7.5E-56,1.1E-48,1.76,29%,4,8.1E-33,11341.39,11348.28
1001,P49773,9.5E-56,1.4E-48,154.7,28%,1,9.5E-33,13704.06,13712.76
346106,P68871,9.9E-56,1.5E-48,8.574,25%,4,9.7E-33,16088.18,16098.22
1976,O00483,1E-55,1.6E-48,750,45%,1,9.9E-33,9363.91,9369.86
7230,Q9P0S9,1.1E-55,1.6E-48,815.6,32%,1,1E-32,11556.97,11564.58
3442461,P07910-1,6.7E-127,2.8E-119,737.2,68%,1,1.2E-32,7459.9,18.02
7101,P62805,2.3E-55,3.6E-48,165.8,37%,1,1.7E-32,11285.37,11292.22
272084,P68871,3.2E-55,4.9E-48,12.54,23%,4,2.1E-32,16059.19,16069.22
15001,P61165,4.7E-55,7.1E-48,2049,33%,1,2.7E-32,9114.8,9120.91
1470,Q9UDW1-1,6.9E-55,1E-47,951.6,52%,1,3.5E-32,7172.79,7177.3
8441,P62805,8E-55,1.2E-47,3.007,28%,4,3.9E-32,11313.36,11320.23
68983,P69905,1E-124,4.3E-117,760.7,79%,1,5.8E-32,7730.96,18.02
2299,P62805,3.1E-54,4.7E-47,14.31,29%,4,9.8E-32,11299.38,11306.24
1224,P61088,3.8E-54,5.8E-47,917.9,24%,1,1.1E-31,17037.94,17048.67
272073,P68871,4E-54,6E-47,3.01,25%,4,1.2E-31,16130.19,16140.26
1288,P18077,5.1E-54,7.7E-47,139.2,32%,1,1.3E-31,12440.74,12448.52
1119,P63220,5.6E-54,8.6E-47,394.9,37%,1,1.4E-31,9147.58,9153.42
69229,P68871,2.2E-123,9.1E-116,870.1,67%,1,1.4E-31,9946.22,18.02
184271,P27797,1E-122,4.3E-115,605.9,72%,1,2.1E-31,9431.09,18.02
74913,P69905,1.4E-53,2.2E-46,17.82,26%,4,2.7E-31,15188.87,15198.38
74905,P68871,1.5E-53,2.3E-46,2.999,26%,4,2.8E-31,16017.18,16027.18
12375,Q9UDW1-1,1.7E-53,2.6E-46,782.2,48%,1,3.1E-31,7158.77,7163.27
2180,P56385,1.8E-53,2.8E-46,616.5,48%,1,3.1E-31,7797.28,7802.02
1684,P84077,7.2E-53,1.1E-45,833.7,18%,1,8.1E-31,20762.83,20775.94
16753,P02775,1E-52,1.5E-45,589.8,41%,1,1E-30,7623.03,7627.94
69103,P09429,2.5E-120,1E-112,824.9,55%,1,1.1E-30,12412.9,18.02
7139,P06454-2,1.9E-52,2.9E-45,377.3,31%,1,1.6E-30,12019.91,12026.73
74009,P0DJI8,4E-52,6.1E-45,938,25%,1,2.6E-30,11519.39,11526.51
346352,P69905,8.9E-52,1.3E-44,1.984,25%,4,4.4E-30,15276.82,15286.32
2113,Q16777,2.5E-51,3.9E-44,1047,20%,1,9.1E-30,13890.81,13899.22
5415863,Q03135-1,3.5E-117,1.4E-109,3.01,74%,4,1.1E-29,6176.02,18.02
5455891,P06748-1,4.4E-117,1.8E-109,894.5,80%,1,1.1E-29,6590.87,18.02
212009,P10412,7.5E-117,3.1E-109,0.2348,71%,4,1.2E-29,6546.76,6550.69
272294,P69905,1.1E-50,1.7E-43,8.799,26%,4,2.5E-29,15226.83,15236.32
3465849,P69905,1.2E-115,5E-108,785.2,77%,1,2.8E-29,7020.57,18.02
259088,P69905,1.6E-50,2.5E-43,84.55,25%,1,3.2E-29,15196.85,15206.34
18723,P02042,2.1E-50,3.1E-43,542.1,26%,1,3.8E-29,15914.25,15924.29
16751,P69905,2.3E-50,3.5E-43,91.62,23%,1,4E-29,15289.94,15299.59
7480,P62805,3.1E-50,4.7E-43,40.51,36%,1,4.9E-29,11313.4,11320.27
15151,P61956-1,3.4E-50,5.1E-43,25.61,34%,4,5.2E-29,10512.22,18.02
52390,P06454-2,1.8E-114,7.5E-107,564.5,70%,1,6.3E-29,10530.23,18.02
222720,P68871,5.6E-50,8.4E-43,15.24,28%,4,7.2E-29,15979.23,15989.24
259089,P69905,6.4E-50,9.7E-43,3.01,28%,4,7.9E-29,15196.85,15206.34
287909,P10412,4.4E-114,1.8E-106,0.6695,59%,4,8.1E-29,7694.36,7698.98
4945204,P0DP24,7.7E-50,1.2E-42,102.6,24%,1,8.9E-29,16762.82,16773.49
1605,Q04837,8.5E-50,1.3E-42,591.8,22%,1,9.5E-29,15185.85,15195.14
5477521,Q03135-1,1.4E-113,5.7E-106,15.47,72%,4,1.1E-28,6176.02,18.02
17469,P69905,1.2E-49,1.8E-42,835.4,25%,1,1.2E-28,15200.91,15210.44
186619,Q15847,4.3E-113,1.8E-105,908.3,74%,1,1.6E-28,7632.85,18.02
2955,Q7Z3B0,2.7E-49,4.1E-42,1116,42%,1,2.1E-28,8619.78,8625.27
170826,P06748-1,5.3E-112,2.2E-104,868.9,61%,1,3.3E-28,8139.22,18.02
11812,P69905,1.1E-48,1.7E-41,503.3,29%,1,5.6E-28,15247.93,15257.55
69106,P59665,1.7E-48,2.5E-41,333.2,69%,1,7.2E-28,3445.56,3448.09
1269,P62805,2E-48,3.1E-41,45.61,33%,1,8.1E-28,11355.41,11362.31
1089,Q99584,5.9E-48,9E-41,744.3,35%,1,1.7E-27,11375.06,11382.04
1862,P14174,6E-48,9.2E-41,485.4,31%,1,1.7E-27,12337.18,12345.11
588261,P05496,1.5E-47,2.4E-40,1098,39%,1,3.2E-27,7645.03,7650.1
69024,P60709,9.2E-109,3.8E-101,942.3,56%,1,3.3E-27,9861.07,18.02
169827,P62805,2.6E-47,3.9E-40,61.51,24%,1,4.5E-27,11341.39,11348.28
16575,P69905,2.9E-47,4.4E-40,586.3,25%,1,4.9E-27,15230.88,15240.42
5415842,Q8NC51-3,4.9E-108,2E-100,625.5,63%,1,5.3E-27,8950.17,18.02
239996,P69905,4E-47,6.1E-40,2.945,24%,4,6.1E-27,15238.86,15248.38
1397,P62861,6.2E-47,9.4E-40,794.1,34%,1,8.2E-27,6643.82,6647.86
525228,P69905,7.6E-47,1.2E-39,20.88,24%,4,9.4E-27,15268.84,15278.36
5431237,Q01995,8.6E-107,3.5E-99,724.5,70%,1,1.3E-26,7728.84,18.02
1544,P61353,1.3E-46,1.9E-39,726,25%,1,1.3E-26,15656.71,15666.53
68997,P69905,2.2E-106,9.3E-99,787.2,53%,1,1.7E-26,10226.22,18.02
169574,P62750,2.7E-106,1.1E-98,697.4,53%,1,1.7E-26,10116.58,18.02
224859,P69905,2.5E-46,3.7E-39,10.67,23%,4,2.1E-26,15280.87,15290.42
13984,P06454-2,2.5E-46,3.8E-39,0.2996,32%,4,2.1E-26,12095.82,12102.61
1335,Q16778,4.1E-46,6.2E-39,137.3,29%,1,2.9E-26,13780.53,13788.97
7472,P62805,4.9E-46,7.5E-39,40.18,34%,1,3.3E-26,11327.38,11334.26
4918045,P00441,5E-46,7.7E-39,364.3,22%,1,3.3E-26,15834.86,15844.57
346348,P69905,5.6E-46,8.6E-39,1.249,21%,4,3.5E-26,15310.85,15320.4
346362,P69905,5.6E-46,8.6E-39,23.55,21%,4,3.5E-26,15327.89,15337.53
68973,P68871,5.8E-46,8.8E-39,13.08,25%,4,3.6E-26,16139.16,16149.2
1386,Q93077,6.5E-46,9.8E-39,437.4,22%,1,3.8E-26,14007.91,14016.32
11825,O14957,7.1E-46,1.1E-38,729.7,41%,1,4.1E-26,6434.44,6438.49
15199,P07711,7.8E-46,1.2E-38,470.2,56%,1,4.3E-26,4773.28,4776.4
183718,P60709,7.4E-105,3E-97,328.2,48%,1,4.7E-26,11311.51,18.02
219365,P62805,9.6E-46,1.5E-38,3.01,29%,4,4.9E-26,11327.38,11334.26
68946,P04406-1,1E-104,4.2E-97,868.4,49%,1,5.1E-26,10357.36,18.02
60266,P06454-2,3.8E-104,1.6E-96,649.7,71%,1,7.4E-26,9916.88,18.02
42863,P01040,2.5E-45,3.8E-38,638.4,24%,1,9.4E-26,11041.67,11048.53
272280,P69905,2.8E-45,4.2E-38,2.966,24%,4,1E-25,15280.87,15290.42
13987,P62805,4.1E-45,6.2E-38,2.887,25%,4,1.3E-25,11341.39,11348.28
3379738,P06748-1,2.6E-103,1.1E-95,767.3,73%,1,1.3E-25,6718.97,18.02
69009,P69905,1.3E-47,5.3E-40,494.6,26%,1,1.5E-25,15277.9,15287.53
11791,P06702,5.6E-45,8.5E-38,561.4,28%,1,1.6E-25,13144.48,13152.84
74910,P69905,5.7E-45,8.7E-38,44.07,26%,1,1.6E-25,15158.9,15168.4
441648,P69905,6.3E-103,2.6E-95,917.5,46%,1,1.7E-25,14406.49,18.02
5533634,P19338,6.3E-103,2.6E-95,1033,72%,1,1.7E-25,7623.12,18.02
259091,P69905,8.8E-45,1.3E-37,15.98,21%,4,2.2E-25,15196.85,15206.34
346068,P68871,9.2E-45,1.4E-37,200.8,15%,1,2.2E-25,16257.08,16267.12
74346,P11684,9.5E-45,1.4E-37,978.4,41%,1,2.3E-25,7909.98,7915.18
300929,P06733-1,2E-102,8.2E-95,60.7,55%,1,2.4E-25,9078.89,18.02
225432,P08758,2.1E-102,8.8E-95,508.2,52%,1,2.4E-25,9639.08,18.02
1215,P06703,1.1E-44,1.7E-37,667,24%,1,2.5E-25,10084.31,10090.59
417563,P68871,1.4E-44,2.2E-37,2.773,17%,4,3E-25,16082.24,16092.37
169458,P69905,1.1E-101,4.7E-94,1030,42%,1,3.9E-25,14960.78,18.02
2087,P62805,2.4E-44,3.6E-37,2.205,25%,4,4.2E-25,11341.39,11348.28
5455883,P06748-1,2E-101,8.4E-94,805,78%,1,4.6E-25,5341.18,18.02
5453754,P10412,3.8E-101,1.6E-93,0.2348,64%,4,5.5E-25,6702.86,6706.88
14888,P23284,4.8E-44,7.4E-37,630.2,19%,1,6.7E-25,20290.59,20303.31
434040,P11021,1E-100,4.2E-93,800.1,38%,1,7.4E-25,12480.44,18.02
16172,P05109,7E-44,1.1E-36,678.2,36%,1,8.6E-25,10856.64,10863.51
70221,P69905,8.3E-44,1.3E-36,43.32,24%,1,9.7E-25,15188.87,18.02
1844,P62841,8.5E-44,1.3E-36,725,21%,1,9.8E-25,16940.14,16950.95
389957,P62805,8.7E-44,1.3E-36,2.91,24%,4,9.9E-25,11341.39,11348.29
301513,P19338,6.4E-100,2.6E-92,1291,79%,1,1.3E-24,6830.6,18.02
652285,P07910-1,9.8E-100,4.1E-92,691.2,69%,1,1.4E-24,5925.22,18.02
5431211,Q9H098-1,9.4E-100,3.9E-92,834.5,61%,1,1.4E-24,8581.63,18.02
1156,O75347-1,1.5E-43,2.4E-36,691.8,27%,1,1.5E-24,12757.68,12765.68
1064,P12074,1.7E-43,2.6E-36,661,32%,1,1.5E-24,9612.74,9618.8
3020,Q14019,3.8E-43,5.7E-36,510.6,19%,1,2.6E-24,15846,15855.83
13351,P06454-2,4.6E-43,6.9E-36,0.7918,30%,4,3E-24,12015.85,12022.63
16843,P69905,6.4E-43,9.8E-36,55.75,21%,1,3.8E-24,15289.94,15299.59
8119,P62805,6.8E-43,1E-35,15.3,30%,4,3.9E-24,11313.36,11320.23
5431213,P02671-1,2.6E-98,1.1E-90,581.2,54%,1,4E-24,7987.67,18.02
516980,P08758,4.1E-98,1.7E-90,718.4,48%,1,4.5E-24,10071.32,18.02
224858,P69905,1E-42,1.5E-35,11.08,22%,4,5.1E-24,15226.83,15236.32
5455887,P06748-1,9E-98,3.7E-90,779.3,80%,1,5.6E-24,5793.46,18.02
4894438,P68871,1.3E-42,1.9E-35,27.22,23%,4,6E-24,15906.22,15916.2
995192,L0R6Q1-1,1.4E-42,2.1E-35,850.2,22%,1,6.2E-24,11036.85,11043.64
432671,P10412,1.9E-97,7.9E-90,38.62,57%,4,6.9E-24,7188.12,7192.42
32388,P20962,3.3E-97,1.4E-89,512.8,65%,1,8.1E-24,7780.2,18.02
6966,Q8WUW1-1,2.2E-42,3.3E-35,747.4,30%,1,8.5E-24,8650.43,8655.76
603914,P19338,8.2E-97,3.4E-89,1351,74%,1,1.1E-23,6958.69,18.02
473261,P69905,3.5E-42,5.4E-35,2.777,21%,4,1.2E-23,15280.87,15290.42
15980,P69905,3.6E-42,5.5E-35,701.1,21%,1,1.2E-23,15331.95,15341.63
16903,P69905,3.6E-42,5.5E-35,3.01,20%,4,1.2E-23,15319.91,15329.57
5537504,Q15847,3.5E-96,1.4E-88,1045,66%,1,1.6E-23,7074.5,18.02
4894175,P68871,1.2E-41,1.8E-34,57.72,24%,1,2.7E-23,15906.22,15916.2
2211,P62910,2.5E-41,3.8E-34,576.9,22%,1,4.4E-23,15718.76,15728.61
4894281,P68871,2.6E-41,3.9E-34,14.76,26%,4,4.5E-23,15919.24,15929.24
2197,P06454-2,3.1E-41,4.8E-34,3.01,30%,4,5.1E-23,12108.94,18.02
5431266,P09429,2.1E-94,8.6E-87,639,45%,1,5.8E-23,9563.02,18.02
16207,P61956-1,8.1E-91,3.4E-83,15.52,54%,4,6.1E-23,10513.2,18.02
184148,P00338-1,3.3E-94,1.4E-86,0.9691,61%,4,6.7E-23,8475.53,18.02
4933147,P68871,4.9E-41,7.4E-34,82,23%,1,6.8E-23,15919.24,15929.24
70217,P69905,5.2E-41,8E-34,0.7918,22%,4,7.1E-23,15306.79,15316.3
224861,P69905,6.3E-41,9.6E-34,8.96,23%,4,8.1E-23,15238.86,15248.38
16736,P68871,7.6E-41,1.2E-33,16.48,23%,4,9.1E-23,15871.23,15881.2
70207,P69905,8.1E-41,1.2E-33,1.736,20%,4,9.5E-23,15276.82,15286.32
310059,P04406-1,1.4E-93,5.9E-86,676.7,59%,1,1E-22,10816.33,18.02
291389,P60709,1.9E-93,7.7E-86,200.9,39%,1,1.1E-22,13967.88,18.02
4894686,P68871,1E-40,1.6E-33,554.2,23%,1,1.1E-22,15864.21,15874.16
8440,P62805,1.2E-40,1.9E-33,13.71,26%,4,1.3E-22,11355.37,11362.27
323049,P62805,1.4E-40,2.2E-33,175.3,22%,1,1.4E-22,11313.4,11320.27
525043,P68871,1.6E-40,2.4E-33,12.73,17%,4,1.5E-22,16152.28,16162.47
14934,Q9Y241-1,1.8E-40,2.8E-33,536.7,27%,1,1.6E-22,10047.21,10053.76
4894176,P68871,2.1E-40,3.1E-33,50.38,23%,1,1.7E-22,15877.23,15887.2
2816,P62805,2.8E-40,4.2E-33,10.4,21%,4,2.1E-22,11383.4,11390.32
5431396,P07305,1.8E-92,7.4E-85,730.4,40%,1,2.2E-22,9776.27,9782.2
16046,P31949,3E-40,4.6E-33,24.41,25%,4,2.2E-22,11643.8,11651.29
1293,P62807,3.2E-40,4.9E-33,79.99,27%,1,2.3E-22,13766.52,13774.95
346400,P69905,3.8E-40,5.8E-33,2.989,24%,4,2.6E-22,15310.85,15320.4
259017,P68871,4.2E-40,6.3E-33,2.996,19%,4,2.8E-22,16040.22,16050.33
272267,P69905,4.6E-40,7E-33,3.009,19%,4,2.9E-22,15369.9,15379.57
1004,P84090,4.8E-40,7.2E-33,733.6,25%,1,3E-22,12161.97,12169.78
14919,P09669,5.2E-40,7.8E-33,514.9,34%,1,3.1E-22,8644.65,8650.24
2119,P39019,6.6E-40,1E-32,527.2,19%,1,3.7E-22,15919.49,15929.31
1012,P62888,8.8E-40,1.3E-32,653,22%,1,4.5E-22,12644.7,12652.86
4933978,P68871,8.9E-40,1.4E-32,12.98,23%,4,4.5E-22,15877.23,15887.2
69004,P69905,1.1E-39,1.7E-32,1.733,21%,4,5.2E-22,15268.84,15278.36
5511516,P20962,3.4E-91,1.4E-83,433.5,61%,1,5.3E-22,7622.13,18.02
5415843,P20962,3.3E-91,1.4E-83,785.8,46%,1,5.4E-22,11047.98,18.02
