PFR,Accession,P-score,E-value,C-score,% Cleavages,Proteoform Level,Q-value,Mono Mass,Avg Mass
1016,O95777,2.8E-54,4.3E-47,1521,29%,1,4.5E-37,10307.26,10313.49
1033,P62805,2.2E-53,3.4E-46,139.9,30%,1,2.3E-36,11299.38,11306.24
6058,P62805,3E-53,4.6E-46,71.1,26%,1,2.8E-36,11299.38,11306.25
2180,P56385,3.6E-53,5.4E-46,905.7,43%,1,3.1E-36,7797.28,7802.02
1004,P84090,4.3E-53,6.6E-46,859,34%,1,3.5E-36,12161.97,12169.78
11835,P15954,5.8E-53,8.8E-46,997.5,57%,1,4.3E-36,5352.76,5356.25
1303,Q5TGZ0-1,2.7E-52,4.1E-45,1047,41%,1,1.4E-35,8713.32,8719.05
6971,P0DP23,4.6E-52,7E-45,14.46,24%,4,2.2E-35,16779.85,16790.52
219857,P62805,5.4E-52,8.2E-45,16.8,28%,4,2.4E-35,11341.39,11348.28
5052317,P35754,5.9E-52,8.9E-45,372.7,23%,1,2.5E-35,11677.13,11684.57
15885,P68871,9.6E-52,1.5E-44,448.7,28%,1,3.6E-35,15886.24,15896.22
15620,P02654,1.6E-51,2.4E-44,595.4,46%,1,5.3E-35,6626.51,6630.58
2548,O14957,2E-51,3.1E-44,1181,44%,1,6.2E-35,6565.48,6569.68
1138,P61970,7.5E-51,1.1E-43,3.01,22%,4,1.7E-34,14380.02,14389.33
1028,P30049,2.1E-50,3.2E-43,1048,20%,1,3.8E-34,15010.74,15019.93
1862,P14174,2.5E-50,3.7E-43,1519,29%,1,4.2E-34,12337.18,12345.11
1265,P60468,2.7E-50,4.1E-43,954.7,27%,1,4.5E-34,9837.06,9843.26
15147,O94777,2.8E-50,4.2E-43,1660,30%,1,4.5E-34,9161.23,9167.11
588261,P05496,7.7E-50,1.2E-42,1211,30%,1,9.9E-34,7645.03,7650.1
2406,Q99735-1,2E-49,3E-42,718.3,21%,1,2E-33,16478.8,16489.4
1010,P60903,3E-49,4.6E-42,1239,37%,1,2.8E-33,11064.47,11071.91
171322,Q96HR9-2,6.7E-49,1E-41,631.4,17%,1,5.3E-33,20761.82,20775.23
1864,P62312,1.3E-48,1.9E-41,903.3,40%,1,8.5E-33,9032.74,9038.42
16046,P31949,1.4E-48,2.2E-41,48.27,24%,1,9.2E-33,11643.8,11651.29
1021,P20674,1.6E-48,2.5E-41,884.1,27%,1,1E-32,12493.43,12501.17
1110,O95178,3.1E-48,4.7E-41,1601,37%,1,1.7E-32,8636.06,8641.51
513405,Q01524,4.8E-48,7.3E-41,1208,41%,1,2.3E-32,8960.98,8966.8
1335,Q16778,1.1E-47,1.6E-40,155.5,29%,1,4.2E-32,13780.53,13788.97
1001,P49773,1.7E-47,2.5E-40,136.2,22%,1,5.9E-32,13704.06,13712.76
2113,Q16777,5E-47,7.6E-40,764.3,24%,1,1.4E-31,13890.81,13899.22
97755,Q01523,5.3E-47,8E-40,400,65%,1,1.4E-31,3585.67,3588.19
1069,Q6FI13,5.4E-47,8.2E-40,635.1,24%,1,1.4E-31,13997.86,14006.34
1386,Q93077,1.3E-46,2E-39,217.6,26%,1,2.8E-31,14007.91,14016.32
2628,P51397,1.5E-46,2.3E-39,130.4,28%,1,3.2E-31,11068.63,11075.42
22280,Q93077,5.1E-46,7.8E-39,415.8,22%,1,8.2E-31,14021.92,14030.35
97759,Q01523,5.5E-46,8.4E-39,439.8,58%,1,8.6E-31,4273,4275.9
5052322,P35754,1.5E-45,2.3E-38,542.7,24%,1,1.9E-30,11675.12,11682.55
15997,P68871,5.3E-45,8.1E-38,11.52,24%,4,5E-30,15899.26,15909.26
1522,P04908,6.2E-45,9.5E-38,496.1,25%,1,5.6E-30,14037.92,14046.34
6994,P62805,1.4E-44,2.2E-37,3.01,25%,4,1.1E-29,11341.39,11348.28
1435,P30046-1,2.1E-44,3.2E-37,667.4,23%,1,1.4E-29,12572.62,12580.57
1329,Q96KK5,2.9E-44,4.4E-37,531.8,24%,1,1.8E-29,13808.8,13817.1
1215,P06703,3E-44,4.6E-37,652.5,30%,1,1.8E-29,10084.31,10090.59
1092,P62805,3.2E-44,4.9E-37,39.35,27%,4,1.9E-29,11341.39,11348.28
2926,O95167,3.8E-44,5.7E-37,1086,30%,1,2.1E-29,9183.82,9189.69
1321,Q9UII2-1,4.8E-44,7.3E-37,614.6,30%,1,2.5E-29,9510.87,9516.56
15161,Q9NRQ5,5.3E-44,8E-37,1378,40%,1,2.7E-29,6775.87,6780.14
1499,P27449,8.8E-44,1.3E-36,2100,15%,1,4E-29,15636.43,15646.6
1293,P62807,4.7E-43,7.2E-36,152,27%,1,1.5E-28,13766.52,13774.95
15149,P61956-1,4.7E-43,7.1E-36,147.1,27%,1,1.5E-28,10513.2,10519.76
14970,P48201,1.9E-42,2.9E-35,995.9,24%,1,4.5E-28,7675.01,7680.08
14919,P09669,8.2E-42,1.3E-34,918.8,30%,1,1.4E-27,8644.65,8650.24
592591,P30049,8.5E-42,1.3E-34,1201,15%,1,1.4E-27,15026.77,15035.97
1224,P61088,8.6E-42,1.3E-34,824.8,17%,1,1.4E-27,17037.94,17048.67
165815,Q01523,1.2E-41,1.8E-34,635.2,32%,1,1.8E-27,8103.83,8108.95
17708,P68871,2.1E-41,3.1E-34,17.15,24%,4,2.7E-27,15928.25,15938.26
2299,P62805,4.4E-41,6.7E-34,21.44,23%,4,4.9E-27,11299.38,11306.24
2087,P62805,5E-41,7.6E-34,1.759,25%,4,5.3E-27,11341.39,11348.28
1144,P0C0S5,5.2E-41,8E-34,530.3,26%,1,5.5E-27,13413.51,13421.55
60517,P62805,3.3E-106,1.4E-98,0.03159,57%,4,5.6E-27,6928.77,6933.05
21340,O14558,1.8E-40,2.7E-33,1209,17%,1,1.4E-26,17166.99,17177.64
1330,P58876,3.6E-40,5.5E-33,304.8,24%,1,2.4E-26,13796.53,13804.97
7293,P62805,4.6E-40,7E-33,1.727,24%,4,2.9E-26,11341.39,11348.28
14926,Q96IX5,9.6E-40,1.5E-32,1722,36%,1,5.2E-26,6322.33,6326.38
5768420,Q01523,1.8E-39,2.7E-32,122.9,26%,1,8.3E-26,8101.81,8106.93
1285,P0C0S8,3.8E-39,5.7E-32,493.6,23%,1,1.5E-25,13993.92,14002.33
18595,P30273,4.7E-39,7.1E-32,883.5,30%,1,1.7E-25,7803.15,7808.09
16605,P69905,1.1E-38,1.7E-31,16.24,19%,4,3.4E-25,15158.9,18.02
1658,P60468,1.3E-38,2E-31,1.761,21%,4,3.8E-25,9917.02,9923.24
593911,Q9UII2-1,4.8E-100,2E-92,720.9,78%,1,3.9E-25,5671.08,18.02
14947,P56134-2,1.5E-38,2.3E-31,50.79,26%,1,4.2E-25,10267.45,10274.09
24310,P0CG47,1.2E-99,5E-92,0.9691,67%,4,4.7E-25,8289.47,18.02
4889930,P50120,2.6E-38,4E-31,538.3,20%,1,6.5E-25,15565.68,15575.45
16363,P0CG47,6.6E-99,2.7E-91,0.9691,59%,4,7.2E-25,8445.57,18.02
1064,P12074,1.5E-37,2.3E-30,717.3,25%,1,2.5E-24,9612.74,9618.8
12374,O00483,1.8E-37,2.7E-30,3.01,28%,4,2.9E-24,9405.92,9411.9
6976,P56385,6.8E-37,1E-29,648.5,35%,1,8.1E-24,7928.33,7933.21
4945204,P0DP24,1.6E-36,2.4E-29,41.21,19%,1,1.5E-23,16762.82,16773.49
1444,Q9Y3D6,1.6E-36,2.4E-29,720.8,13%,1,1.6E-23,16969.03,16979.74
1013,O75368,1.7E-36,2.5E-29,775.9,20%,1,1.6E-23,12635.34,12643.06
12401,Q9P0U1,1.8E-36,2.8E-29,1262,32%,1,1.7E-23,6113.4,6117.3
14951,Q9C002,2.3E-36,3.6E-29,857.7,28%,1,2E-23,9480.13,9486.14
1417,Q99878,2.5E-36,3.8E-29,439.5,21%,1,2.1E-23,13838.81,13847.13
8329,P58876,2.7E-36,4.1E-29,708.1,24%,1,2.2E-23,13838.54,13847.01
4960372,P12104,3.3E-36,4.9E-29,674.5,19%,1,2.6E-23,15108.77,15118.09
1810,P09382,3.4E-36,5.2E-29,134.6,19%,1,2.6E-23,14617.17,14626.55
626998,P68871,4.4E-36,6.6E-29,0.7918,21%,4,3.2E-23,11902.99,11910.45
2074,P20671,7.7E-36,1.2E-28,219.9,20%,1,4.9E-23,14009.91,14018.33
17776,P69905,1.1E-92,4.4E-85,869.1,76%,1,5.8E-23,5104.79,18.02
7804,P10620-1,9.6E-36,1.5E-28,1062,12%,1,5.8E-23,17456.18,17467.47
23814,P68104-1,1.7E-92,6.9E-85,849.6,84%,1,6.2E-23,4054.33,18.02
69231,P68871,1.6E-35,2.5E-28,2.993,19%,4,8.5E-23,15937.22,15947.2
389703,Q71DI3,1.6E-35,2.5E-28,1.053,20%,4,8.5E-23,15303.53,15312.95
7432,P68431,1.6E-35,2.5E-28,1.052,20%,4,8.6E-23,15319.51,15329
16586,P0C0S8,2E-35,3E-28,185.6,19%,1,9.8E-23,14007.93,14016.36
2458,Q5XKP0,6.8E-35,1E-27,702.8,22%,1,2.6E-22,12947.72,12956.06
1036,P06454-2,7.2E-35,1.1E-27,3.01,27%,4,2.7E-22,11977.9,11984.69
16543,P20671,7.8E-35,1.2E-27,156.3,20%,1,2.8E-22,14023.93,14032.36
15111,Q9BTM1,8.7E-35,1.3E-27,547.8,18%,1,3E-22,13921.9,13930.26
74589,P07737,1.8E-34,2.7E-27,77.96,14%,1,5.3E-22,14993.48,15003.02
4973456,P08263,1.9E-34,2.9E-27,3.01,12%,4,5.6E-22,25525.63,25541.92
1880,P25815,2.7E-34,4.1E-27,733.9,25%,1,7.2E-22,10304.19,10310.75
1464,P62328,3.1E-34,4.7E-27,3.01,38%,4,8E-22,4960.49,4963.5
7017,O95298-1,3.3E-34,5.1E-27,680.8,15%,1,8.4E-22,14178.42,14187.52
22246,Q6FI13,6.9E-34,1.1E-26,320.8,17%,1,1.5E-21,14011.88,14020.37
15907,P51397,8.2E-34,1.2E-26,11.92,23%,4,1.7E-21,11068.63,18.02
1089,Q99584,8.8E-34,1.3E-26,552.7,26%,1,1.8E-21,11375.06,11382.04
286185,P08727,1.4E-87,6E-80,1247,76%,1,1.9E-21,4161.02,18.02
1375,P30086,2E-33,3E-26,459.7,16%,1,3.4E-21,20912.63,20925.59
32839,P23527,1.9E-86,7.7E-79,0.1424,78%,4,3.5E-21,4568.54,4571.26
35871,Q9UII2-1,3.3E-86,1.4E-78,700.5,61%,1,3.9E-21,5827.18,18.02
1549,Q5QNW6,3.1E-33,4.7E-26,60.37,21%,1,4.7E-21,13780.53,13788.97
389328,P84243,4.2E-33,6.4E-26,0.4543,17%,4,5.9E-21,15257.5,15266.82
389481,P84243,4.2E-33,6.3E-26,1.275,18%,4,5.9E-21,15257.5,15266.81
424951,P84243,4.2E-33,6.4E-26,0.198,17%,4,5.9E-21,15285.57,15294.91
390087,P68431,6.2E-33,9.4E-26,0.4894,19%,4,7.8E-21,15319.47,15328.96
32837,O60814,4.5E-85,1.8E-77,0.5115,68%,4,8.6E-21,4552.55,4555.26
37069,Q96KK5,9.9E-33,1.5E-25,314.2,21%,1,1.1E-20,13822.82,13831.13
14938,O14949,1E-32,1.6E-25,700.6,23%,1,1.1E-20,9769.08,9775.18
12947,Q99877,1.1E-32,1.7E-25,498,22%,1,1.2E-20,13824.52,13832.99
15901,P69905,1.1E-32,1.7E-25,576,19%,1,1.2E-20,15146.86,15156.34
13891,P51397,1.2E-32,1.8E-25,27.1,21%,4,1.2E-20,11148.6,11155.4
3909,Q8IUE6,1.1E-32,1.7E-25,575.2,20%,1,1.2E-20,13897.81,13906.15
1174,Q9NP97-1,1.6E-32,2.4E-25,493.2,24%,1,1.5E-20,10825.69,10832.45
5379186,A0A2R8Y619,5.9E-84,2.5E-76,804.7,67%,1,1.7E-20,4326.4,18.02
17380,P62805,5.8E-84,2.4E-76,0.03159,53%,4,1.8E-20,7084.87,7089.24
4993224,P68431,2E-32,3E-25,0.01765,17%,4,1.8E-20,15375.5,15385.03
2463,P05109,2.4E-32,3.6E-25,488.3,25%,1,2.1E-20,10827.65,10834.51
15969,P68871,2.5E-32,3.8E-25,278,19%,1,2.2E-20,15871.23,15881.2
3510,Q9P1F3,3E-32,4.6E-25,682.6,25%,1,2.5E-20,9092.87,9098.54
1642706,Q71DI3,3.2E-32,4.9E-25,0.1228,17%,4,2.6E-20,15317.54,15326.98
20107,Q01995,3.3E-32,5E-25,363.6,13%,1,2.7E-20,22507.4,22521.75
1638984,P68431,3.4E-32,5.2E-25,1.048,19%,4,2.7E-20,15333.52,15343.02
15919,P61769,3.8E-32,5.8E-25,292.7,22%,1,3E-20,11706.76,11714.14
422914,P84243,4.4E-32,6.7E-25,0.5566,18%,4,3.3E-20,15257.54,15266.85
23170,P68104-1,1.1E-82,4.7E-75,936,78%,1,4.1E-20,3907.26,18.02
388944,P68431,6.4E-32,9.7E-25,0.3437,17%,4,4.3E-20,15333.52,15343.04
389684,Q71DI3,6.4E-32,9.7E-25,0.285,18%,4,4.4E-20,15317.54,15326.98
5768648,Q71DI3,8.3E-32,1.3E-24,0.1408,16%,4,5.2E-20,15359.55,15369.01
389148,P68431,8.3E-32,1.3E-24,0.1934,16%,4,5.3E-20,15375.5,15385.02
1764,Q93079,9.6E-32,1.5E-24,292.5,22%,1,5.9E-20,13752.5,13760.92
1119,P63220,1.5E-31,2.3E-24,727.4,27%,1,8.2E-20,9147.58,9153.42
4993249,P68431,1.5E-31,2.3E-24,0.4625,21%,4,8.3E-20,15375.53,15385.07
186619,Q15847,1.4E-81,5.9E-74,890.9,52%,1,8.3E-20,7632.85,18.02
4992305,Q71DI3,1.5E-31,2.3E-24,0.4625,21%,4,8.3E-20,15359.55,15369.01
392122,Q71DI3,1.5E-31,2.3E-24,0.3064,21%,4,8.4E-20,15359.52,15368.96
1006,P05204,1.7E-31,2.5E-24,657.7,23%,1,8.7E-20,9256.02,9261.48
1449,P23527,1.9E-31,2.9E-24,64.89,21%,1,9.6E-20,13766.52,13774.95
424928,P84243,2E-31,3E-24,1.216,18%,4,9.9E-20,15243.52,15252.83
442433,P68431,2E-31,3.1E-24,0.1074,18%,4,1E-19,15333.52,15343.04
185317,P08727,3.3E-81,1.4E-73,1215,63%,1,1E-19,4904.41,18.02
1050,P32119-1,2.3E-31,3.5E-24,565,12%,1,1.1E-19,21789.21,21802.77
1409,P14927-1,2.6E-31,3.9E-24,131.5,18%,1,1.2E-19,13432.95,13441.3
3008139,P84243,2.6E-31,3.9E-24,0.3506,18%,4,1.2E-19,15299.55,15308.89
389397,P84243,2.6E-31,4E-24,0.3583,19%,4,1.2E-19,15243.52,15252.83
389010,P68431,3.3E-31,4.9E-24,0.4682,18%,4,1.4E-19,15333.48,15342.98
4981473,P10599-1,1.2E-80,5E-73,3.01,42%,4,1.5E-19,11597.69,18.02
453274,P24844-1,4.3E-31,6.5E-24,3.01,15%,4,1.7E-19,19805.38,19818.01
1639051,P68431,4.7E-31,7.1E-24,0.005341,16%,4,1.8E-19,15389.55,15399.1
1639047,P68431,4.7E-31,7.1E-24,0.003843,16%,4,1.9E-19,15389.51,15399.05
67030,P09681,5.7E-31,8.7E-24,1041,34%,1,2.1E-19,4980.47,4983.59
389006,P68431,5.9E-31,8.9E-24,0.7734,18%,4,2.2E-19,15375.5,15385.03
5038110,P84243,5.9E-31,9E-24,0.1949,19%,4,2.2E-19,15271.52,15280.84
183853,P05787-1,7.5E-80,3.1E-72,766.6,70%,1,2.6E-19,4383.23,18.02
185200,P05783,9.4E-80,3.9E-72,727.9,65%,1,2.7E-19,4986.46,18.02
2011,Q71DI3,7.9E-31,1.2E-23,0.5643,17%,4,2.7E-19,15317.51,15326.93
2480370,P68431,7.9E-31,1.2E-23,0.3544,17%,4,2.7E-19,15333.48,15342.99
392072,P84243,9.4E-31,1.4E-23,1.343,17%,4,3.1E-19,15243.49,15252.79
389652,Q71DI3,9.8E-31,1.5E-23,0.216,17%,4,3.1E-19,15331.56,15341
392129,P68431,9.8E-31,1.5E-23,0.2115,17%,4,3.1E-19,15347.5,15357.01
424007,P68431,1.1E-30,1.7E-23,0.009506,16%,4,3.5E-19,15361.55,15371.07
2480321,P68431,1.1E-30,1.7E-23,0.01007,16%,4,3.5E-19,15403.53,15413.07
1264386,P68431,1.1E-30,1.7E-23,0.01837,16%,4,3.5E-19,15403.6,15413.17
2930,P33778,1.2E-30,1.8E-23,465.2,21%,1,3.5E-19,13810.54,13819
15160,Q9NRQ5,1.3E-30,1.9E-23,1197,24%,1,3.7E-19,6733.86,6738.1
5711416,P17661,3E-79,1.2E-71,977.1,58%,1,3.7E-19,5529.75,18.02
4831403,P68431,1.3E-30,2E-23,0.1162,17%,4,3.8E-19,15417.58,15427.15
170230,Q71DI3,1.6E-30,2.4E-23,0.1375,16%,4,4.3E-19,15303.53,15312.95
6972,O60814,1.7E-30,2.6E-23,351.1,18%,1,4.6E-19,13750.52,13758.95
225771,P08670,7.6E-79,3.1E-71,570.8,64%,1,4.9E-19,5461.71,18.02
4993339,P68431,2E-30,3.1E-23,0.03653,16%,4,5.2E-19,15389.51,15399.05
1156,O75347-1,2.1E-30,3.2E-23,612.1,13%,1,5.3E-19,12757.68,12765.68
389671,Q71DI3,2.3E-30,3.4E-23,0.8013,18%,4,5.6E-19,15317.51,15326.93
1544,P61353,2.8E-30,4.2E-23,743.4,16%,1,6.6E-19,15656.71,15666.53
1642676,Q71DI3,2.8E-30,4.2E-23,0.8191,18%,4,6.6E-19,15317.51,15326.92
3008278,P84243,2.9E-30,4.4E-23,0.03069,17%,4,6.8E-19,15327.55,15336.91
13154,P33778,3E-30,4.6E-23,241.2,21%,1,6.9E-19,13852.55,13861.04
416609,P84243,3.3E-30,5E-23,0.8815,18%,4,7.3E-19,15257.5,15266.81
7147,Q16778,3.7E-30,5.6E-23,46.87,21%,1,8E-19,13822.54,13831.01
389380,P84243,4.1E-30,6.2E-23,0.1176,17%,4,8.6E-19,15271.56,15280.88
443316,P84243,4.3E-30,6.5E-23,2.082,16%,4,8.9E-19,15271.56,15280.88
23755,P60468,6E-78,2.5E-70,956.3,58%,1,9.1E-19,5874.03,18.02
1643900,P84243,4.6E-30,6.9E-23,0.06773,17%,4,9.3E-19,15285.54,15294.86
170446,P68431,4.7E-30,7.2E-23,0.09843,17%,4,9.4E-19,15347.54,15357.06
476396,P68431,4.7E-30,7.2E-23,0.0294,17%,4,9.5E-19,15347.5,15357.01
212269,P23527,8.7E-78,3.6E-70,0.1424,64%,4,1E-18,5052.78,5055.81
389001,P68431,5.3E-30,8.1E-23,0.2395,17%,4,1E-18,15319.47,15328.96
392001,Q71DI3,5.5E-30,8.4E-23,0.1113,16%,4,1.1E-18,15359.59,15369.05
12615,P17096-1,5.8E-30,8.8E-23,7.072,16%,4,1.1E-18,11754.06,18.02
416494,P68431,6.3E-30,9.6E-23,0.3375,17%,4,1.2E-18,15333.52,15343.02
389630,Q71DI3,6.4E-30,9.7E-23,0.534,19%,4,1.2E-18,15303.53,15312.95
5757215,Q12864,2.2E-77,9.1E-70,1386,61%,1,1.3E-18,6364.66,18.02
13448,P07858,8.4E-30,1.3E-22,728.3,30%,1,1.4E-18,5205.43,5208.85
1115,P26447,8.5E-30,1.3E-22,68.1,21%,1,1.4E-18,11631.7,11639.36
389437,P84243,9E-30,1.4E-22,0.4796,17%,4,1.5E-18,15271.48,15280.8
2480665,P68431,9.2E-30,1.4E-22,0.01227,17%,4,1.5E-18,15361.48,15371
427147,P68431,9.2E-30,1.4E-22,0.02022,17%,4,1.5E-18,15361.55,15371.09
494813,Q71DI3,9.5E-30,1.4E-22,0.07022,17%,4,1.5E-18,15317.54,15326.98
3379,P68431,1E-29,1.6E-22,0.2102,17%,4,1.6E-18,15305.49,15314.98
389020,P68431,1.3E-29,2E-22,0.5307,16%,4,2E-18,15347.5,15357.01
18789,Q8NCU8-2,1.3E-29,2E-22,640.1,26%,1,2E-18,6391.61,6395.47
5738638,Q01995,1E-76,4.3E-69,725.4,54%,1,2.1E-18,5454.76,18.02
534201,P84243,1.5E-29,2.3E-22,0.2331,16%,4,2.2E-18,15271.56,15280.88
1983,Q9P0S9,1.6E-29,2.5E-22,1291,15%,1,2.3E-18,11598.98,11606.62
1364,P23284,1.7E-29,2.6E-22,535.9,12%,1,2.4E-18,20276.57,20289.29
1397,P62861,1.8E-29,2.8E-22,453.5,22%,1,2.5E-18,6643.82,6647.86
2534053,Q71DI3,2.3E-29,3.6E-22,0.003841,16%,4,3E-18,15373.53,15382.99
389997,P62805,2.4E-29,3.7E-22,22.22,19%,4,3E-18,11313.4,11320.27
389293,P84243,2.6E-29,4E-22,0.4905,18%,4,3.2E-18,15271.56,15280.88
170033,P68431,2.8E-29,4.3E-22,0.3293,16%,4,3.4E-18,15333.48,15342.98
418354,P68431,2.9E-29,4.4E-22,0.766,16%,4,3.5E-18,15389.51,15399.05
421095,P68431,3.2E-29,4.8E-22,0.01837,16%,4,3.7E-18,15403.6,15413.16
946561,Q71DI3,3.8E-29,5.8E-22,0.531,16%,4,4.3E-18,15331.52,15340.95
598043,P84243,4.5E-29,6.9E-22,0.192,16%,4,4.9E-18,15271.52,15280.84
4894439,P68871,4.8E-29,7.2E-22,14.27,17%,4,5E-18,15915.18,15925.14
390080,P68431,4.7E-29,7.2E-22,0.1116,16%,4,5E-18,15361.55,15371.09
389075,P68431,5.1E-29,7.7E-22,0.2806,18%,4,5.3E-18,15333.48,15342.98
19567,O95994,5.1E-29,7.8E-22,576.9,13%,1,5.3E-18,17806.39,17817.53
392241,P84243,5.2E-29,7.9E-22,0.08933,16%,4,5.3E-18,15369.56,15378.94
211578,P05787-1,2.4E-75,1E-67,797.4,74%,1,5.4E-18,4227.14,18.02
3245,P00441,6.1E-29,9.3E-22,291.1,18%,1,6E-18,15836.87,15846.59
12951,Q71DI3,6.3E-29,9.6E-22,1.147,17%,4,6E-18,15289.51,15298.92
641631,P68431,6.3E-29,9.5E-22,0.1421,16%,4,6E-18,15403.56,15413.13
5789976,P68431,6.3E-29,9.5E-22,0.4373,16%,4,6E-18,15445.54,15455.12
4982589,P68431,6.2E-29,9.5E-22,0.02259,16%,4,6E-18,15389.58,15399.14
19566,P62266,7.1E-29,1.1E-21,617.1,16%,1,6.6E-18,15682.67,15692.36
392007,Q71DI3,8.3E-29,1.3E-21,0.07937,16%,4,7.4E-18,15331.56,15341
3700,Q9Y2R0,8.7E-29,1.3E-21,573.2,12%,1,7.7E-18,11635.1,11642.14
5038187,P84243,9.1E-29,1.4E-21,0.1606,14%,4,7.9E-18,15257.5,15266.82
389290,P84243,9.4E-29,1.4E-21,0.1578,16%,4,8.1E-18,15257.54,15266.85
389497,P84243,1E-28,1.5E-21,0.2128,16%,4,8.4E-18,15285.5,15294.83
389011,P68431,1E-28,1.6E-21,0.103,16%,4,8.6E-18,15375.5,15385.02
73310,P0C0S8,1.3E-74,5.2E-67,862.4,78%,1,8.6E-18,4571.6,4574.35
426973,P84243,1E-28,1.6E-21,0.6694,16%,4,8.7E-18,15271.52,15280.84
415666,P68431,1.1E-28,1.7E-21,0.875,17%,4,9.2E-18,15333.48,15342.98
4993241,P68431,1.4E-28,2.1E-21,0.4598,19%,4,1.1E-17,15389.55,15399.1
389456,P84243,1.5E-28,2.2E-21,0.7469,17%,4,1.1E-17,15243.49,15252.79
901825,Q71DI3,1.7E-28,2.6E-21,0.4525,16%,4,1.2E-17,15317.54,15326.97
5768587,P68431,1.7E-28,2.6E-21,0.4525,16%,4,1.2E-17,15333.48,15342.98
389701,Q71DI3,1.8E-28,2.7E-21,0.1261,16%,4,1.3E-17,15331.56,15341
5038458,P84243,2.1E-28,3.1E-21,0.03182,16%,4,1.4E-17,15299.55,15308.89
